渠道,产品名称,品牌,产品大类,重量(克),商品价¥,含税价¥,克单价¥/g,500g单价¥,20支成本¥
nov,Bayou Morning (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Bayou Morning (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Bayou Morning (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Bayou Morning (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Bayou Morning (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Star of the East (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Star of the East (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Star of the East (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Star of the East (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Star of the East (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Dark Fired Kentucky (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Dark Fired Kentucky (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Dark Fired Kentucky (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Dark Fired Kentucky (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Dark Fired Kentucky (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Old Joe Krantz Blue Label (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Old Joe Krantz Blue Label (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Old Joe Krantz Blue Label (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Old Joe Krantz Blue Label (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Old Joe Krantz Blue Label (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Bayou Night (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Bayou Night (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Bayou Night (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Bayou Night (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Bayou Night (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Billy Budd (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Billy Budd (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Billy Budd (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Billy Budd (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Billy Budd (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Byzantium (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Byzantium (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Byzantium (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Byzantium (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Byzantium (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Old Joe Krantz White Label (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Old Joe Krantz White Label (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Old Joe Krantz White Label (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
