品牌,覆盖渠道,产品大类,产品数,最低价(¥),最高价(¥),均价(¥),均价($),最小重量(g),最大重量(g)
深鼓,huasheng,烟丝,1,58.5,58.5,58.5,8.62,50.0,50.0
温斯洛,huasheng,烟斗丝,1,179.6,179.6,179.6,26.45,100.0,100.0
烟先生,huasheng,耗材,8,2.27,14.96,9.63,1.42,,
琥珀,huasheng,烟丝,1,50.0,50.0,50.0,7.36,30.0,30.0
登喜路,huasheng,成品烟,8,353.3,353.3,353.3,52.03,,
皇家冰薄荷,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家卡布奇诺,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家双香草,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家天堂茶,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家拉塔基亚,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家椰子菠萝,huasheng,烟斗丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家樱桃,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家浆果玫瑰,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家百香果,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家维吉尼亚,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家酒梅,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
皇家马鲁拉,huasheng,烟丝,1,37.67,37.67,37.67,5.55,40.0,40.0
索拉你,huasheng,烟斗丝,1,186.39,186.39,186.39,27.45,100.0,100.0
索拉尼,huasheng,烟斗丝,2,106.79,106.79,106.79,15.73,50.0,50.0
红场,huasheng,烟丝,3,33.79,33.79,33.79,4.98,40.0,40.0
红巴厘,huasheng,烟丝,1,36.2,36.2,36.2,5.33,40.0,40.0
红法官,huasheng,烟丝,1,105.85,105.85,105.85,15.59,50.0,50.0
红牛,huasheng,烟丝,5,35.45,37.25,36.46,5.37,40.0,40.0
红田,pipeuncle,烟丝,40,29.0,29.0,29.0,4.27,30.0,30.0
罗伯特麦康奈尔,huasheng,烟斗丝,4,85.07,194.21,132.59,19.53,50.0,100.0
罗洛,huasheng,耗材,2,14.84,15.5,15.17,2.23,,
