渠道,产品名称,品牌,口味,不加税价格(¥),单包含税价(¥),美元价格($),毛重(g),运费(¥),价格/500g(¥),平摊运费(¥/包),平摊运费后烟丝成本/20支,20支成品烟价(¥),规格(g),库存,分类
nov,PS403 Luxury Bullseye Flake (2oz / 57g),Peter Stokkebye,,,,11.2000,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,PS403 Luxury Bullseye Flake (4oz / 113g),Peter Stokkebye,,,,21.1500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,PS403 Luxury Bullseye Flake (8oz / 227g),Peter Stokkebye,,,,39.4600,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,PS403 Luxury Bullseye Flake (16oz / 454g),Peter Stokkebye,,,,75.5400,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,PS403 Luxury Bullseye Flake (24oz / 680g),Peter Stokkebye,,,,108.6600,680.4,,,,,,680.4,有货,bulk_pipe_tobacco
nov,PS41 Cube Cut (1oz / 28g),Peter Stokkebye,,,,4.2300,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,PS41 Cube Cut (2oz / 57g),Peter Stokkebye,,,,7.9500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,PS41 Cube Cut (4oz / 113g),Peter Stokkebye,,,,15.0100,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,PS41 Cube Cut (8oz / 227g),Peter Stokkebye,,,,28.0000,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,PS41 Cube Cut (16oz / 454g),Peter Stokkebye,,,,53.6000,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Lane BCA (1oz / 28g),Lane Limited,,,,4.0200,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Lane BCA (2oz / 57g),Lane Limited,,,,7.5700,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Lane BCA (4oz / 113g),Lane Limited,,,,14.2900,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Lane BCA (8oz / 227g),Lane Limited,,,,26.6600,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Lane BCA (16oz / 454g),Lane Limited,,,,51.0400,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Kendal Dark Vintage Cut (1oz / 28g),Gawith Hoggarth & Co.,,,,5.5200,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Kendal Dark Vintage Cut (2oz / 57g),Gawith Hoggarth & Co.,,,,10.3800,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Kendal Dark Vintage Cut (4oz / 113g),Gawith Hoggarth & Co.,,,,19.6000,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Kendal Dark Vintage Cut (8oz / 227g),Gawith Hoggarth & Co.,,,,36.5600,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Kendal Dark Vintage Cut (16oz / 454g),Gawith Hoggarth & Co.,,,,69.9900,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Kendal Dark Vintage Cut (18oz / 500g),Gawith Hoggarth & Co.,,,,73.9700,500.0,,,,,,500.0,有货,bulk_pipe_tobacco
